new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,15,,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,,102,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,,,57
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,174,,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,,2367,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,,,4449
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,,0,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,92,,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,281,,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,,2469,
E06000002,Middlesbrough,special,5,658,0,0,92,13.98176,35,5.31915,,,4506
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,15,,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,,102,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,,,57
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,174,,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,,2367,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,,,4449
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,,0,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,92,,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,281,,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,,2469,
E06000002,Middlesbrough,state-funded primary,41,15954,0,0,174,1.09064,98,0.61427,,,4506
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,15,,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,,102,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,,,57
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,174,,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,,2367,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,,,4449
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,,0,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,92,,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,281,,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,,2469,
E06000002,Middlesbrough,state-funded secondary,8,9141,73,0.7986,6990,76.46866,1304,14.2654,,,4506
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,15,,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,,102,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,,,57
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,174,,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,,2367,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,,,4449
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,,0,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,92,,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,281,,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,,2469,
E06000002,Middlesbrough,Total,54,25753,73,0.28346,7256,28.17536,1437,5.57993,,,4506
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,26,,
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,,131,
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,,,30
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,267,,
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,,1491,
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,,,3881
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,68,,
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,361,,
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,,1622,
E06000004,Stockton-on-Tees,special,4,654,0,0,68,10.39755,29,4.43425,,,3911
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,26,,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,131,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,,30
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,267,,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,1491,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,,3881
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,68,,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,361,,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,1622,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,,3911
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,26,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,131,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,,30
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,267,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,1491,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,,3881
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,68,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,361,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,1622,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,,3911
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,26,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,131,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,,30
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,267,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,1491,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,,3881
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,68,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,361,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,1622,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,,3911
E06000047,County Durham,Total,251,73311,85,0.11594,6704,9.1446,2648,3.61201,106,,
E06000047,County Durham,state-funded primary,211,40881,0,0,762,1.86395,313,0.76564,106,,
E06000047,County Durham,special,9,1671,0,0,119,7.12148,74,4.42849,106,,
E06000047,County Durham,state-funded secondary,31,30759,85,0.27634,5823,18.93104,2261,7.35069,106,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,43,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,240,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,,57
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,158,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,1217,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,,1924
