time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,ass_nodecision,ass_nodecision_ehc,ass_none,ass_none_ehc,ass_none_ehc_pc,ass_refused,ass_refused_ehc,ass_refused_ehc_pc,assessment_mediation,assessment_tribunal,assessment_w,assessments,direct_pay_education,direct_pay_health,direct_pay_integrated,direct_pay_socialcare,discontinued_abroad,discontinued_age,discontinued_deceased,discontinued_employment,discontinued_unknown,discontinued_engage,discontinued_he,discontinued_lea,discontinued_lea_ehc,discontinued_lea_noncomp,discontinued_left,discontinued_left_ehc,discontinued_met,discontinued_met_ehc,discontinued_met_noncomp,discontinued_other,discontinued_other_ehc,discontinued_other_noncomp,discontinued_total,inc_exc_20week_ehc,inc_exc_20week_rate,inc_exc_26week,inreq_ehc,inreq_ehc_a,inreq_ehc_w,inreq_ehc_y,inreq_rya_ehc,mainstream_to_home,mainstream_to_home_ehc,mainstream_to_special,mainstream_to_special_ehc,new_all_ehc,new_all_ehc_ass_none_ehc_sum,new_all_ehc_pc,no_exc_20week_ehc,no_exc_20week_rate,no_exc_26week,org_arrangements,other_mediation,other_tribunal,total_tribunal,personal_budgets,request_mediation,request_tribunal,special_to_home,special_to_home_ehc,special_to_mainstream,special_to_mainstream_ehc,statements_no_ehc,statements_to_ehc,tot_inc_exc,tot_inc_exc_ehc,tot_no_exc,tot_no_exc_ehc,total_mediation,total_tribunal_followed_mediation,total_tribunal_pc
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,z,,z,76,15.3846,z,146,24.0132,22,11,11,505,6,2,12,171,1,3,6,3,0,149,10,z,50,21,z,z,z,5,6,z,0,1,255,177,45.3846,z,608,26,0,436,0,z,z,z,z,418,494,84.62,160,46.6472,z,0,3,21,45,191,28,13,z,z,z,z,z,z,z,390,z,343,53,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000012,204,Hackney,z,,z,,x,z,,x,x,x,x,x,,,,,x,x,x,x,x,x,x,z,x,x,z,z,z,x,x,z,x,x,x,,x,z,x,x,x,x,x,z,z,z,z,,,x,,x,z,,x,x,x,,x,x,z,z,z,z,z,z,z,,z,,,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E10000025,931,Oxfordshire,z,,z,114,8.5457,z,218,15.7514,27,24,2,1336,23,2,0,134,12,9,3,70,0,166,39,z,78,40,z,z,z,3,17,z,0,0,437,533,53.6217,z,1384,20,0,1146,0,z,z,z,z,1220,1334,91.45,533,53.6757,z,0,40,66,193,159,110,103,z,z,z,z,z,z,z,994,z,993,177,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,z,,z,32,6.3492,z,267,38.5281,4,0,0,504,3,0,0,0,3,42,1,21,0,51,11,z,99,33,z,z,z,2,10,z,0,0,273,232,55.5024,z,693,33,0,393,0,z,z,z,z,472,504,93.65,227,56.4677,z,0,5,9,20,3,66,11,z,z,z,z,z,z,z,418,z,402,75,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,z,,z,24,3.7795,z,129,16.3706,8,2,0,635,6,0,2,137,4,3,1,11,0,30,6,z,20,8,z,z,z,2,0,z,0,0,85,239,40.4399,z,788,36,7,616,0,z,z,z,z,611,635,96.22,239,40.4399,z,2,1,0,11,9,30,9,z,z,z,z,z,z,z,591,z,591,39,,z
2023,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,891,Nottinghamshire,z,,z,148,16.7991,z,244,17.6812,74,10,0,881,27,10,149,613,0,4,1,20,0,287,10,z,59,45,z,z,z,15,27,z,0,0,468,227,32.3362,z,1380,155,0,981,0,z,z,z,z,733,881,83.2,227,32.3362,z,168,4,5,25,799,49,10,z,z,z,z,z,z,z,702,z,702,127,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000038,870,Reading,z,,z,11,3.2544,z,141,29.6842,0,0,0,338,21,0,0,0,1,7,0,9,0,63,13,z,14,14,z,z,z,0,0,z,0,0,121,245,74.9235,z,475,29,1,304,0,z,z,z,z,327,338,96.75,245,74.9235,z,0,0,0,10,21,10,10,z,z,z,z,z,z,z,327,z,327,10,,z
2023,Calendar year,Local authority,E92000001,England,E12000006,East of England,E10000012,881,Essex,z,,z,10,0.5942,z,820,21.0743,2,6,0,1683,0,0,0,0,9,4,6,250,6,20,36,z,148,64,z,z,z,13,44,z,2,4,606,15,0.9311,z,3891,319,497,2255,0,z,z,z,z,1673,1683,99.41,15,0.9317,z,0,47,12,247,0,177,229,z,z,z,z,z,z,z,1611,z,1610,226,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000060,825,Buckinghamshire,z,,z,0,0,z,464,29.423,2,0,0,955,101,0,0,0,13,6,8,54,0,21,12,z,71,45,z,z,z,8,50,z,0,0,288,434,46.7169,z,1577,94,9,1010,0,z,z,z,z,955,955,100,429,48.9726,z,0,41,45,93,101,87,48,z,z,z,z,z,z,z,929,z,876,130,,z
2023,Calendar year,Local authority,E92000001,England,E12000006,East of England,E06000033,882,Southend-on-Sea,z,,z,7,2.682,z,120,23.2108,1,3,0,261,2,0,0,135,7,0,2,24,0,22,8,z,28,20,z,z,z,4,5,z,0,0,120,9,3.75,z,517,61,5,331,0,z,z,z,z,254,261,97.32,9,3.7657,z,0,1,4,19,137,5,12,z,z,z,z,z,z,z,240,z,239,7,,z
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E10000034,885,Worcestershire,z,,z,49,3.8492,z,276,19.18,3,1,0,1273,8,0,4,1,1,24,5,14,0,159,8,z,40,20,z,z,z,3,6,z,0,0,280,318,27.5325,z,1439,136,3,1024,1,z,z,z,z,1224,1273,96.15,316,27.6708,z,7,19,5,23,19,63,17,z,z,z,z,z,z,z,1155,z,1142,85,,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,z,,z,25,6.9832,z,267,44.1322,1,1,0,358,3,0,11,138,1,0,1,0,0,39,0,z,13,8,z,z,z,1,10,z,0,0,73,185,59.8706,z,605,43,11,284,0,z,z,z,z,333,358,93.02,172,60.9929,z,123,7,2,48,232,160,45,z,z,z,z,z,z,z,309,z,282,168,,z
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E06000019,884,"Herefordshire, County of",z,,z,1,0.3401,z,85,21.197,0,1,0,294,8,0,0,0,2,1,2,3,0,33,1,z,29,12,z,z,z,4,15,z,0,0,102,222,77.0833,z,401,38,0,278,0,z,z,z,z,293,294,99.66,222,77.0833,z,0,0,8,15,8,2,6,z,z,z,z,z,z,z,288,z,288,2,,z
2023,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000030,335,Walsall,z,,z,37,2.9671,z,285,22.619,15,3,0,1247,27,0,0,0,5,20,5,0,0,10,1,z,98,32,z,z,z,0,0,z,1,0,172,711,60.2032,z,1260,11,1,963,0,z,z,z,z,1210,1247,97.03,708,60.2041,z,0,14,3,10,27,86,4,z,z,z,z,z,z,z,1181,z,1176,115,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000014,309,Haringey,z,,z,15,4.9834,z,249,35.9827,17,10,0,301,38,0,0,195,7,3,2,36,0,1,25,z,40,54,z,z,z,0,42,z,19,99,328,220,97.7778,z,692,19,0,424,0,z,z,z,z,286,301,95.02,217,97.7477,z,0,5,2,31,233,28,19,z,z,z,z,z,z,z,225,z,222,50,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000040,868,Windsor and Maidenhead,z,,z,1,0.7407,z,103,45.1754,0,6,0,135,4,0,0,0,1,1,1,34,0,8,11,z,23,15,z,z,z,0,22,z,0,0,116,122,95.3125,z,228,1,0,124,0,z,z,z,z,134,135,99.26,122,95.3125,z,0,1,5,23,4,5,12,z,z,z,z,z,z,z,128,z,128,6,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,z,,z,2,0.2933,z,1,0.1192,1,2,0,682,32,0,0,48,2,1,2,2,0,3,2,z,47,25,z,z,z,1,3,z,0,0,88,366,53.9823,z,839,81,79,678,0,z,z,z,z,680,682,99.71,352,57.2358,z,0,5,9,15,80,36,4,z,z,z,z,z,z,z,678,z,615,42,,z
2023,Calendar year,Local authority,E92000001,England,E12000009,South West,E06000023,801,"Bristol, City of",z,,z,50,6.1881,z,244,20.5214,13,5,0,808,59,11,11,163,6,2,4,129,0,0,12,z,68,32,z,z,z,0,12,z,0,0,265,397,56.9584,z,1189,81,2,862,1,z,z,z,z,758,808,93.81,396,57.1429,z,67,0,0,11,244,27,6,z,z,z,z,z,z,z,697,z,693,40,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000008,306,Croydon,z,,z,4,0.5739,z,170,18.4783,1,0,0,697,16,0,0,0,17,16,5,7,0,55,20,z,136,72,z,z,z,1,33,z,0,0,362,570,82.4891,z,920,95,2,653,0,z,z,z,z,693,697,99.43,569,82.4638,z,0,11,12,32,16,28,20,z,z,z,z,z,z,z,691,z,690,40,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,z,,z,3,0.1852,z,177,6.9141,5,16,0,1620,33,2,227,203,0,33,3,9,0,258,9,z,113,47,z,z,z,8,26,z,0,0,506,1242,80.4404,z,2560,13,0,2370,7,z,z,z,z,1617,1620,99.81,1225,80.2227,z,0,16,20,88,466,135,52,z,z,z,z,z,z,z,1544,z,1527,156,,z
