,red,yellow,green
ParentView_Q01,"(0.009765625, 0.6991803278688524)","(0.7, 0.8499999999999999)","(0.85, 1.0)"
ParentView_Q02,"(0.013671875, 0.6999999999999997)","(0.7, 0.8499999999999998)","(0.85, 1.0)"
ParentView_Q03,"(0.0078125, 0.6999999999999997)","(0.7, 0.8499999999999999)","(0.85, 1.0)"
ParentView_Q04,"(0.0, 0.65)","(nan, nan)","(nan, nan)"
ParentView_Q05,"(0.0078125, 0.6999999999999998)","(0.7, 0.8499999999999998)","(0.85, 1.0)"
ParentView_Q06,"(0.0, 0.6999999999999997)","(0.7, 0.84375)","(0.85, 1.0)"
ParentView_Q07a,"(0.0, 0.693548387096774)","(0.7, 0.846153846153846)","(0.862068965517241, 1.0)"
ParentView_Q07b,"(0.0, 0.6999999999999997)","(0.7, 0.8499999999999996)","(0.85, 1.0)"
ParentView_Q08,"(0.0078125, 0.6999999999999998)","(0.7, 0.8499999999999999)","(0.85, 1.0)"
ParentView_Q09,"(0.0078125, 0.6995798319327738)","(0.7, 0.8499999999999999)","(0.85, 1.0)"
ParentView_Q10,"(0.0078125, 0.6999999999999998)","(0.7, 0.8499999999999998)","(0.85, 1.0)"
ParentView_Q11,"(0.009765625, 0.6999999999999998)","(0.7, 0.8499999999999999)","(0.85, 1.0)"
ParentView_Q12,"(0.009765625, 0.6999999999999998)","(0.7, 0.8499999999999999)","(0.85, 1.0)"
ParentView_Q13,"(0.0, 0.6999999999999997)","(0.7, 0.8499999999999999)","(0.85, 1.0)"
ParentView_Q14,"(0.0, 0.699346405228758)","(0.7, 0.849673202614379)","(0.85, 1.0)"
