la_name,region_name,region_code,Row Labels,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,LA_susp_rate,REG_susp_rate,SEND one_plus_susp rate,LA_one_plus_rate,REG_one_plus_rate,SEND exclusion rate,LA_excl_rate,REG_excl_rate,LA_Overrepresentation,REG_Overrepresentation,
Hartlepool,North East,E12000001,E06000001,549,2305,7,939,226,2854,15117,2995,22,794,0.189,0.329,0.198,0.314,0.079,0.053,0.085951252,0.002,0.001,0.004858915,1.661,2.131,
Middlesbrough,North East,E12000001,E06000002,1195,3658,34,2750,531,4853,25753,7256,73,1437,0.188,0.567,0.282,0.314,0.109,0.056,0.085951252,0.007,0.003,0.004858915,2.011,2.131,
Redcar and Cleveland,North East,E12000001,E06000003,943,3029,25,2890,447,3972,21262,6971,61,1196,0.187,0.728,0.328,0.314,0.113,0.056,0.085951252,0.006,0.003,0.004858915,2.219,2.131,
Stockton-on-Tees,North East,E12000001,E06000004,1399,4028,30,1983,478,5427,32300,5894,85,1448,0.168,0.365,0.182,0.314,0.088,0.045,0.085951252,0.006,0.003,0.004858915,2.002,2.131,
Darlington,North East,E12000001,E06000005,701,2195,16,1089,277,2896,15979,2227,29,667,0.181,0.376,0.139,0.314,0.096,0.042,0.085951252,0.006,0.002,0.004858915,2.698,2.131,
Halton,North West,E12000002,E06000006,890,2780,20,667,237,3670,18814,1857,41,747,0.195,0.182,0.099,0.216,0.065,0.04,0.077780924,0.005,0.002,0.004331668,1.841,2.384,
Warrington,North West,E12000002,E06000007,1249,3770,10,864,319,5019,33173,1923,23,740,0.151,0.172,0.058,0.216,0.064,0.022,0.077780924,0.002,0.001,0.004331668,2.97,2.384,
Blackburn with Darwen,North West,E12000002,E06000008,1021,4028,20,766,342,5049,27761,1887,35,948,0.182,0.152,0.068,0.216,0.068,0.034,0.077780924,0.004,0.001,0.004331668,2.232,2.384,
Blackpool,North West,E12000002,E06000009,962,3225,26,1776,477,4187,19879,3757,43,1066,0.211,0.424,0.189,0.216,0.114,0.054,0.077780924,0.006,0.002,0.004331668,2.244,2.384,
"Kingston upon Hull, City of",Yorkshire and The Humber,E12000003,E06000010,1792,5847,12,1502,547,7639,42692,5309,32,1797,0.179,0.197,0.124,0.31,0.072,0.042,0.09166672,0.002,0.001,0.003528862,1.581,2.327,
East Riding of Yorkshire,Yorkshire and The Humber,E12000003,E06000011,1960,5126,27,1260,507,7086,45612,3623,60,1433,0.155,0.178,0.079,0.31,0.072,0.031,0.09166672,0.004,0.001,0.003528862,2.239,2.327,
North East Lincolnshire,Yorkshire and The Humber,E12000003,E06000012,887,3030,19,1205,397,3917,24052,3293,40,1117,0.163,0.308,0.137,0.31,0.101,0.046,0.09166672,0.005,0.002,0.003528862,2.247,2.327,
North Lincolnshire,Yorkshire and The Humber,E12000003,E06000013,844,3478,9,1105,371,4322,24633,2758,27,1011,0.175,0.256,0.112,0.31,0.086,0.041,0.09166672,0.002,0.001,0.003528862,2.283,2.327,
York,Yorkshire and The Humber,E12000003,E06000014,887,2638,9,1320,358,3525,25517,3281,15,928,0.138,0.374,0.129,0.31,0.102,0.036,0.09166672,0.003,0.001,0.003528862,2.912,2.327,
Derby,East Midlands,E12000004,E06000015,2186,5800,18,1746,616,7986,44649,4797,27,1690,0.179,0.219,0.107,0.279,0.077,0.038,0.089262461,0.002,0.001,0.003770809,2.035,2.624,
Leicester,East Midlands,E12000004,E06000016,2293,7136,8,1362,583,9429,60331,3346,24,1646,0.156,0.144,0.055,0.279,0.062,0.027,0.089262461,0.001,0,0.003770809,2.605,2.624,
Rutland,East Midlands,E12000004,E06000017,176,629,2,142,62,805,6105,407,4,192,0.132,0.176,0.067,0.279,0.077,0.031,0.089262461,0.002,0.001,0.003770809,2.646,2.624,
Nottingham,East Midlands,E12000004,E06000018,1104,6529,49,3281,884,7633,48574,8355,96,2636,0.157,0.43,0.172,0.279,0.116,0.054,0.089262461,0.006,0.002,0.003770809,2.499,2.624,
"Herefordshire, County of",West Midlands,E12000005,E06000019,909,3663,19,718,302,4572,23777,1434,32,642,0.192,0.157,0.06,0.209,0.066,0.027,0.07995205,0.004,0.001,0.001298713,2.604,2.446,
Telford and Wrekin,West Midlands,E12000005,E06000020,1187,4723,9,1562,492,5910,31879,3706,22,1215,0.185,0.264,0.116,0.209,0.083,0.038,0.07995205,0.002,0.001,0.001298713,2.273,2.446,
Stoke-on-Trent,West Midlands,E12000005,E06000021,1759,6031,50,3516,877,7790,41136,8802,94,2509,0.189,0.451,0.214,0.209,0.113,0.061,0.07995205,0.006,0.002,0.001298713,2.109,2.446,
Bath and North East Somerset,South West,E12000009,E06000022,1412,3430,15,1344,498,4842,27503,2551,39,1066,0.176,0.278,0.093,0.324,0.103,0.039,0.099914885,0.003,0.001,0.001231018,2.993,2.774,
"Bristol, City of",South West,E12000009,E06000023,2722,9530,28,4212,1221,12252,62249,9004,36,2780,0.197,0.344,0.145,0.324,0.1,0.045,0.099914885,0.002,0.001,0.001231018,2.377,2.774,
North Somerset,South West,E12000009,E06000024,1097,3444,18,1358,458,4541,31480,2718,35,1065,0.144,0.299,0.086,0.324,0.101,0.034,0.099914885,0.004,0.001,0.001231018,3.464,2.774,
South Gloucestershire,South West,E12000009,E06000025,1695,5153,17,2499,716,6848,41019,4779,32,1567,0.167,0.365,0.117,0.324,0.105,0.038,0.099914885,0.002,0.001,0.001231018,3.132,2.774,
Plymouth,South West,E12000009,E06000026,1608,5472,23,2277,709,7080,39014,5163,52,1692,0.181,0.322,0.132,0.324,0.1,0.043,0.099914885,0.003,0.001,0.001231018,2.43,2.774,
Torbay,South West,E12000009,E06000027,1220,2503,26,1598,471,3723,20271,3051,50,932,0.184,0.429,0.151,0.324,0.127,0.046,0.099914885,0.007,0.002,0.001231018,2.852,2.774,
Swindon,South West,E12000009,E06000030,1818,4801,28,1610,557,6619,37001,3636,52,1372,0.179,0.243,0.098,0.324,0.084,0.037,0.099914885,0.004,0.001,0.001231018,2.475,2.774,
Peterborough,East of England,E12000006,E06000031,1542,4343,27,1847,633,5885,40660,4912,58,1986,0.145,0.314,0.121,0.242,0.108,0.049,0.088025734,0.005,0.001,0.003330192,2.598,2.783,
Luton,East of England,E12000006,E06000032,1677,5236,7,846,405,6913,39879,2242,22,1250,0.173,0.122,0.056,0.242,0.059,0.031,0.088025734,0.001,0.001,0.003330192,2.177,2.783,
Southend-on-Sea,East of England,E12000006,E06000033,1261,3062,18,865,320,4323,31279,2123,32,908,0.138,0.2,0.068,0.242,0.074,0.029,0.088025734,0.004,0.001,0.003330192,2.948,2.783,
