LA_REG_Overrepresentation,LA_REG_SEND_pct_students,LA_REG_SEND_susp_rate,LA_REG_Total_susp_rate,Overrepresentation,REG_Overrepresentation,REG_SEND_pct_students,REG_SEND_susp_rate,REG_Total_susp_rate,Regions,Row Labels,SEND one_plus_susp,SEND perm_excl,SEND suspensions,SEND_pct_students,SEND_susp_rate,Sum of SEN_EHC,Sum of SEN_Support,Total Headcount,Total One Plus Suspensions,Total Permanent Exclusion,Total Suspension,Total_SEND Headcount,Total_susp_rate,la_name,region_code,region_name
2.131,0.183,0.314,0.15,1.661,2.131,0.183,0.314,0.15,North East,E06000001,226,7,939,0.189,0.329,549,2305,15117,794,22,2995,2854,0.198,Hartlepool,E12000001,North East
2.384,0.176,0.216,0.092,2.011,2.384,0.176,0.216,0.092,North West,E06000002,531,34,2750,0.188,0.567,1195,3658,25753,1437,73,7256,4853,0.282,Middlesbrough,E12000001,North East
2.327,0.171,0.31,0.135,2.219,2.327,0.171,0.31,0.135,Yorkshire and The Humber,E06000003,447,25,2890,0.187,0.728,943,3029,21262,1196,61,6971,3972,0.328,Redcar and Cleveland,E12000001,North East
2.624,0.159,0.279,0.107,2.002,2.624,0.159,0.279,0.107,East Midlands,E06000004,478,30,1983,0.168,0.365,1399,4028,32300,1448,85,5894,5427,0.182,Stockton-on-Tees,E12000001,North East
2.446,0.174,0.209,0.086,2.698,2.446,0.174,0.209,0.086,West Midlands,E06000005,277,16,1089,0.181,0.376,701,2195,15979,667,29,2227,2896,0.139,Darlington,E12000001,North East
2.774,0.18,0.324,0.117,1.841,2.774,0.18,0.324,0.117,South West,E06000006,237,20,667,0.195,0.182,890,2780,18814,747,41,1857,3670,0.099,Halton,E12000002,North West
2.783,0.162,0.242,0.088,2.97,2.783,0.162,0.242,0.088,East of England,E06000007,319,10,864,0.151,0.172,1249,3770,33173,740,23,1923,5019,0.058,Warrington,E12000002,North West
2.914,0.171,0.234,0.082,2.232,2.914,0.171,0.234,0.082,South East,E06000008,342,20,766,0.182,0.152,1021,4028,27761,948,35,1887,5049,0.068,Blackburn with Darwen,E12000002,North West
2.139,0.181,0.113,0.053,2.244,2.139,0.181,0.113,0.053,Inner London,E06000009,477,26,1776,0.211,0.424,962,3225,19879,1066,43,3757,4187,0.189,Blackpool,E12000002,North West
2.663,0.156,0.125,0.048,1.581,2.663,0.156,0.125,0.048,Outer London,E06000010,547,12,1502,0.179,0.197,1792,5847,42692,1797,32,5309,7639,0.124,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber
,,,,2.239,,,,,,E06000011,507,27,1260,0.155,0.178,1960,5126,45612,1433,60,3623,7086,0.079,East Riding of Yorkshire,E12000003,Yorkshire and The Humber
,,,,2.247,,,,,,E06000012,397,19,1205,0.163,0.308,887,3030,24052,1117,40,3293,3917,0.137,North East Lincolnshire,E12000003,Yorkshire and The Humber
,,,,2.283,,,,,,E06000013,371,9,1105,0.175,0.256,844,3478,24633,1011,27,2758,4322,0.112,North Lincolnshire,E12000003,Yorkshire and The Humber
,,,,2.912,,,,,,E06000014,358,9,1320,0.138,0.374,887,2638,25517,928,15,3281,3525,0.129,York,E12000003,Yorkshire and The Humber
,,,,2.035,,,,,,E06000015,616,18,1746,0.179,0.219,2186,5800,44649,1690,27,4797,7986,0.107,Derby,E12000004,East Midlands
,,,,2.605,,,,,,E06000016,583,8,1362,0.156,0.144,2293,7136,60331,1646,24,3346,9429,0.055,Leicester,E12000004,East Midlands
,,,,2.646,,,,,,E06000017,62,2,142,0.132,0.176,176,629,6105,192,4,407,805,0.067,Rutland,E12000004,East Midlands
,,,,2.499,,,,,,E06000018,884,49,3281,0.157,0.43,1104,6529,48574,2636,96,8355,7633,0.172,Nottingham,E12000004,East Midlands
,,,,2.604,,,,,,E06000019,302,19,718,0.192,0.157,909,3663,23777,642,32,1434,4572,0.06,"Herefordshire, County of",E12000005,West Midlands
