la_name,region_name,region_code,Row Labels,LA_susp_rate,Region_susp_rate,NonSEND_susp_rate,LA_oneplus_rate,REG_Total_susp_rate,NonSEND_oneplus_rate,LA_perm_excl_rate,REG_Overrepresentation,NonSEND_perm_excl_rate,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,Total_susp_rate,Overrepresentation,Regions,REG_SEND_pct_students,NonSEND_Headcount
Hartlepool,North East,E12000001,E06000001,0.32901191310441485,0.314,0.1676588110576531,0.07918710581639804,0.15,0.046318192938106496,0.002452697967764541,2.131,0.0012231917149147843,549,2305,7,939,226,2854,15117,2995,22,794,0.189,0.329,0.198,1.661,North East,0.183,12263
Middlesbrough,North East,E12000001,E06000002,0.5666597980630538,0.216,0.21559808612440193,0.10941685555326602,0.092,0.04334928229665072,0.007005975685143211,2.384,0.0018660287081339712,1195,3658,34,2750,531,4853,25753,7256,73,1437,0.188,0.567,0.282,2.011,North West,0.176,20900
Redcar and Cleveland,North East,E12000001,E06000003,0.7275931520644512,0.31,0.2360323886639676,0.11253776435045318,0.135,0.04331983805668016,0.0062940584088620345,2.327,0.0020821283979178718,943,3029,25,2890,447,3972,21262,6971,61,1196,0.187,0.728,0.328,2.219,Yorkshire and The Humber,0.171,17290
Stockton-on-Tees,North East,E12000001,E06000004,0.3653952459922609,0.279,0.14553641201205672,0.0880781278791229,0.107,0.036095709448144976,0.00552791597567717,2.624,0.002046663937781416,1399,4028,30,1983,478,5427,32300,5894,85,1448,0.168,0.365,0.182,2.002,East Midlands,0.159,26873
Darlington,North East,E12000001,E06000005,0.37603591160220995,0.209,0.08698310784988153,0.09564917127071823,0.086,0.029809676679660627,0.0055248618784530384,2.446,0.000993655889322021,701,2195,16,1089,277,2896,15979,2227,29,667,0.181,0.376,0.139,2.698,West Midlands,0.174,13083
Halton,North West,E12000002,E06000006,0.18174386920980926,0.324,0.07857897517168516,0.06457765667574931,0.117,0.033676703645007924,0.005449591280653951,2.774,0.0013866877971473852,890,2780,20,667,237,3670,18814,1857,41,747,0.195,0.182,0.099,1.841,South West,0.18,15144
Warrington,North West,E12000002,E06000007,0.17214584578601316,0.242,0.037614548554379484,0.06355847778441921,0.088,0.014953470199616396,0.0019924287706714486,2.783,0.0004617461106769908,1249,3770,10,864,319,5019,33173,1923,23,740,0.151,0.172,0.058,2.97,East of England,0.162,28154
Blackburn with Darwen,North West,E12000002,E06000008,0.15171321053673995,0.234,0.049357168016907364,0.0677361853832442,0.082,0.026681930257132794,0.003961180431768667,2.914,0.0006604438182458612,1021,4028,20,766,342,5049,27761,1887,35,948,0.182,0.152,0.068,2.232,South East,0.171,22712
Blackpool,North West,E12000002,E06000009,0.4241700501552424,0.113,0.1262426714249299,0.11392405063291139,0.053,0.037535049706857,0.006209696680200621,2.139,0.0010833545755799133,962,3225,26,1776,477,4187,19879,3757,43,1066,0.211,0.424,0.189,2.244,Inner London,0.181,15692
"Kingston upon Hull, City of",Yorkshire and The Humber,E12000003,E06000010,0.19662259458044246,0.125,0.10860696659344421,0.0716062311820919,0.048,0.035660285852851394,0.0015708862416546668,2.663,0.0005705645736456223,1792,5847,12,1502,547,7639,42692,5309,32,1797,0.179,0.197,0.124,1.581,Outer London,0.156,35053
East Riding of Yorkshire,Yorkshire and The Humber,E12000003,E06000011,0.17781541066892464,,0.06133520220111094,0.07154953429297206,,0.02403571613974978,0.003810330228619814,,0.0008565643980688367,1960,5126,27,1260,507,7086,45612,3623,60,1433,0.155,0.178,0.079,2.239,,,38526
North East Lincolnshire,Yorkshire and The Humber,E12000003,E06000012,0.3076333929027317,,0.10370002483238143,0.10135307633392902,,0.03575862925254532,0.004850651008424815,,0.001042960019865905,887,3030,19,1205,397,3917,24052,3293,40,1117,0.163,0.308,0.137,2.247,,,20135
North Lincolnshire,Yorkshire and The Humber,E12000003,E06000013,0.2556686719111522,,0.0813844714686623,0.08583988894030542,,0.03151001920141795,0.0020823692734844978,,0.0008862192900398799,844,3478,9,1105,371,4322,24633,2758,27,1011,0.175,0.256,0.112,2.283,,,20311
York,Yorkshire and The Humber,E12000003,E06000014,0.37446808510638296,,0.08916878865041833,0.10156028368794326,,0.025918515823935978,0.002553191489361702,,0.0002728264823572208,887,2638,9,1320,358,3525,25517,3281,15,928,0.138,0.374,0.129,2.912,,,21992
Derby,East Midlands,E12000004,E06000015,0.21863260706235912,,0.08321741265035594,0.07713498622589532,,0.029293838474756567,0.002253944402704733,,0.00024547909336388184,2186,5800,18,1746,616,7986,44649,4797,27,1690,0.179,0.219,0.107,2.035,,,36663
Leicester,East Midlands,E12000004,E06000016,0.14444797963728923,,0.0389768574908648,0.06183052285502174,,0.02088326588346234,0.0008484462827447237,,0.00031432949589407094,2293,7136,8,1362,583,9429,60331,3346,24,1646,0.156,0.144,0.055,2.605,,,50902
Rutland,East Midlands,E12000004,E06000017,0.1763975155279503,,0.05,0.07701863354037267,,0.024528301886792454,0.002484472049689441,,0.0003773584905660377,176,629,2,142,62,805,6105,407,4,192,0.132,0.176,0.067,2.646,,,5300
Nottingham,East Midlands,E12000004,E06000018,0.4298440979955457,,0.12393444224615911,0.11581291759465479,,0.042793287902103024,0.006419494301061182,,0.001147993453994773,1104,6529,49,3281,884,7633,48574,8355,96,2636,0.157,0.43,0.172,2.499,,,40941
"Herefordshire, County of",West Midlands,E12000005,E06000019,0.15704286964129482,,0.037281957823483466,0.06605424321959755,,0.017703722988804998,0.004155730533683289,,0.0006769070554543088,909,3663,19,718,302,4572,23777,1434,32,642,0.192,0.157,0.06,2.604,,,19205
Telford and Wrekin,West Midlands,E12000005,E06000020,0.2642978003384095,,0.08255997535523124,0.083248730964467,,0.02784088721167546,0.0015228426395939086,,0.000500596865493473,1187,4723,9,1562,492,5910,31879,3706,22,1215,0.185,0.264,0.116,2.273,,,25969
Stoke-on-Trent,West Midlands,E12000005,E06000021,0.45134788189987163,,0.1585197624902537,0.11258023106546855,,0.04894140226713849,0.006418485237483954,,0.0013194985905355964,1759,6031,50,3516,877,7790,41136,8802,94,2509,0.189,0.451,0.214,2.109,,,33346
