new_la_code,la_name,region_code,region_name,headcount,TTperm_excl,TTperm_excl_rate,TTsuspension,TTsusp_rate,TTone_plus_susp,TTone_plus_susp_rate,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000001,Hartlepool,E12000001,North East,15117.0,22.0,0.14553,2995.0,19.81213,794.0,5.25236,0,0.0,107,19.48998179,24,4.371584699,549.0,,
E06000001,Hartlepool,E12000001,North East,15117.0,22.0,0.14553,2995.0,19.81213,794.0,5.25236,7,0.303687636,832,36.09544469,202,8.763557484,,2305.0,
E06000001,Hartlepool,E12000001,North East,15117.0,22.0,0.14553,2995.0,19.81213,794.0,5.25236,15,0.122319171,2056,16.76588111,568,4.631819294,,,12263.0
E06000002,Middlesbrough,E12000001,North East,25753.0,73.0,0.28346,7256.0,28.17536,1437.0,5.57993,1,0.083682008,281,23.51464435,92,7.69874477,1195.0,,
E06000002,Middlesbrough,E12000001,North East,25753.0,73.0,0.28346,7256.0,28.17536,1437.0,5.57993,33,0.902132313,2469,67.4958994,439,12.00109349,,3658.0,
E06000002,Middlesbrough,E12000001,North East,25753.0,73.0,0.28346,7256.0,28.17536,1437.0,5.57993,39,0.186602871,4506,21.55980861,906,4.33492823,,,20900.0
E06000003,Redcar and Cleveland,E12000001,North East,21262.0,61.0,0.2869,6971.0,32.78619,1196.0,5.62506,0,0.0,511,54.18875928,101,10.71049841,943.0,,
E06000003,Redcar and Cleveland,E12000001,North East,21262.0,61.0,0.2869,6971.0,32.78619,1196.0,5.62506,25,0.825354903,2379,78.54077253,346,11.42291185,,3029.0,
E06000003,Redcar and Cleveland,E12000001,North East,21262.0,61.0,0.2869,6971.0,32.78619,1196.0,5.62506,36,0.20821284,4081,23.60323887,749,4.331983806,,,17290.0
E06000047,County Durham,E12000001,North East,73311.0,85.0,0.11594,6704.0,9.1446,2648.0,3.61201,1,0.034025179,413,14.05239878,185,6.294658047,2939.0,,
E06000047,County Durham,E12000001,North East,73311.0,85.0,0.11594,6704.0,9.1446,2648.0,3.61201,37,0.346701649,2417,22.64805097,866,8.114692654,,10672.0,
E06000047,County Durham,E12000001,North East,73311.0,85.0,0.11594,6704.0,9.1446,2648.0,3.61201,47,0.078726968,3874,6.489112228,1597,2.675041876,,,59700.0
E08000011,Knowsley,E12000002,North West,21402.0,33.0,0.15419,1376.0,6.42931,700.0,3.27072,0,0.0,109,8.630245447,54,4.275534442,1263.0,,
E08000011,Knowsley,E12000002,North West,21402.0,33.0,0.15419,1376.0,6.42931,700.0,3.27072,16,0.095357292,727,4.332796949,396,2.360092973,,,16779.0
E08000011,Knowsley,E12000002,North West,21402.0,33.0,0.15419,1376.0,6.42931,700.0,3.27072,17,0.505952381,540,16.07142857,250,7.44047619,,3360.0,
E08000006,Salford,E12000002,North West,38390.0,67.0,0.17452,4616.0,12.02396,1728.0,4.50117,1,0.052521008,316,16.59663866,129,6.775210084,1904.0,,
