time_period,geographic_level,region_code,region_name,new_la_code,la_name,characteristic_group,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN,new_la_code.1,num_schools,headcount,TTperm_excl.1,TTperm_excl_rate.1,TTsuspension.1,TTsusp_rate.1,TTone_plus_susp.1,TTone_plus_susp_rate.1
202223,Local authority,E12000001,North East,E06000001,Hartlepool,SEN provision,0,0,107,19.48998179,24,4.371584699,549,,,E06000001,37,15117,22,0.14553,2995,19.81213,794,5.25236
202223,Local authority,E12000001,North East,E06000001,Hartlepool,SEN provision,7,0.303687636,832,36.09544469,202,8.763557484,,2305,,E06000001,37,15117,22,0.14553,2995,19.81213,794,5.25236
202223,Local authority,E12000001,North East,E06000001,Hartlepool,SEN provision,15,0.122319171,2056,16.76588111,568,4.631819294,,,12263,E06000001,37,15117,22,0.14553,2995,19.81213,794,5.25236
202223,Local authority,E12000001,North East,E06000002,Middlesbrough,SEN provision,1,0.083682008,281,23.51464435,92,7.69874477,1195,,,E06000002,54,25753,73,0.28346,7256,28.17536,1437,5.57993
202223,Local authority,E12000001,North East,E06000002,Middlesbrough,SEN provision,33,0.902132313,2469,67.4958994,439,12.00109349,,3658,,E06000002,54,25753,73,0.28346,7256,28.17536,1437,5.57993
202223,Local authority,E12000001,North East,E06000002,Middlesbrough,SEN provision,39,0.186602871,4506,21.55980861,906,4.33492823,,,20900,E06000002,54,25753,73,0.28346,7256,28.17536,1437,5.57993
202223,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,SEN provision,0,0,511,54.18875928,101,10.71049841,943,,,E06000003,58,21262,61,0.2869,6971,32.78619,1196,5.62506
202223,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,SEN provision,25,0.825354903,2379,78.54077253,346,11.42291185,,3029,,E06000003,58,21262,61,0.2869,6971,32.78619,1196,5.62506
202223,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,SEN provision,36,0.20821284,4081,23.60323887,749,4.331983806,,,17290,E06000003,58,21262,61,0.2869,6971,32.78619,1196,5.62506
202223,Local authority,E12000001,North East,E06000047,County Durham,SEN provision,1,0.034025179,413,14.05239878,185,6.294658047,2939,,,E06000047,251,73311,85,0.11594,6704,9.1446,2648,3.61201
202223,Local authority,E12000001,North East,E06000047,County Durham,SEN provision,37,0.346701649,2417,22.64805097,866,8.114692654,,10672,,E06000047,251,73311,85,0.11594,6704,9.1446,2648,3.61201
202223,Local authority,E12000001,North East,E06000047,County Durham,SEN provision,47,0.078726968,3874,6.489112228,1597,2.675041876,,,59700,E06000047,251,73311,85,0.11594,6704,9.1446,2648,3.61201
202223,Local authority,E12000002,North West,E08000011,Knowsley,SEN provision,0,0,109,8.630245447,54,4.275534442,1263,,,E08000011,60,21402,33,0.15419,1376,6.42931,700,3.27072
202223,Local authority,E12000002,North West,E08000011,Knowsley,SEN provision,16,0.095357292,727,4.332796949,396,2.360092973,,,16779,E08000011,60,21402,33,0.15419,1376,6.42931,700,3.27072
202223,Local authority,E12000002,North West,E08000011,Knowsley,SEN provision,17,0.505952381,540,16.07142857,250,7.44047619,,3360,,E08000011,60,21402,33,0.15419,1376,6.42931,700,3.27072
202223,Local authority,E12000002,North West,E08000006,Salford,SEN provision,1,0.052521008,316,16.59663866,129,6.775210084,1904,,,E08000006,95,38390,67,0.17452,4616,12.02396,1728,4.50117
202223,Local authority,E12000002,North West,E08000006,Salford,SEN provision,31,0.102843114,2553,8.469628106,994,3.297614703,,,30143,E08000006,95,38390,67,0.17452,4616,12.02396,1728,4.50117
202223,Local authority,E12000002,North West,E08000006,Salford,SEN provision,35,0.551789374,1747,27.54217247,605,9.538073467,,6343,,E08000006,95,38390,67,0.17452,4616,12.02396,1728,4.50117
202223,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,SEN provision,5,0.357398142,361,25.80414582,113,8.077197999,1399,,,E06000004,77,32300,85,0.26316,5894,18.24768,1448,4.48297
202223,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,SEN provision,25,0.620655412,1622,40.26812314,365,9.061569017,,4028,,E06000004,77,32300,85,0.26316,5894,18.24768,1448,4.48297
202223,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,SEN provision,55,0.204666394,3911,14.5536412,970,3.609570945,,,26873,E06000004,77,32300,85,0.26316,5894,18.24768,1448,4.48297
202223,Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,SEN provision,5,0.243190661,494,24.02723735,185,8.998054475,2056,,,E08000018,120,45062,62,0.13759,5352,11.87697,1781,3.95233
202223,Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,SEN provision,26,0.072278439,2756,7.661514511,981,2.727121094,,,35972,E08000018,120,45062,62,0.13759,5352,11.87697,1781,3.95233
202223,Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,SEN provision,31,0.44071652,2102,29.88342337,615,8.743247086,,7034,,E08000018,120,45062,62,0.13759,5352,11.87697,1781,3.95233
202223,Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,SEN provision,0,0,373,11.24510099,144,4.341272234,3317,,,E08000035,277,131359,19,0.01446,13500,10.27718,4971,3.78429
202223,Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,SEN provision,8,0.040741495,4796,24.42452638,1597,8.133020982,,19636,,E08000035,277,131359,19,0.01446,13500,10.27718,4971,3.78429
202223,Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,SEN provision,11,0.01014704,8331,7.684998985,3230,2.979539878,,,108406,E08000035,277,131359,19,0.01446,13500,10.27718,4971,3.78429
202223,Local authority,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,SEN provision,9,0.28125,853,26.65625,308,9.625,3200,,,E10000023,353,82875,75,0.0905,8184,9.87511,2803,3.3822
202223,Local authority,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,SEN provision,33,0.047493632,4405,6.33968021,1663,2.393391189,,,69483,E10000023,353,82875,75,0.0905,8184,9.87511,2803,3.3822
202223,Local authority,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,SEN provision,33,0.323783359,2926,28.70879121,832,8.163265306,,10192,,E10000023,353,82875,75,0.0905,8184,9.87511,2803,3.3822
202223,Local authority,E12000001,North East,E06000005,Darlington,SEN provision,1,0.142653352,203,28.95863053,60,8.559201141,701,,,E06000005,39,15979,29,0.18149,2227,13.93704,667,4.17423
202223,Local authority,E12000001,North East,E06000005,Darlington,SEN provision,13,0.099365589,1138,8.698310785,390,2.980967668,,,13083,E06000005,39,15979,29,0.18149,2227,13.93704,667,4.17423
202223,Local authority,E12000001,North East,E06000005,Darlington,SEN provision,15,0.683371298,886,40.36446469,217,9.886104784,,2195,,E06000005,39,15979,29,0.18149,2227,13.93704,667,4.17423
202223,Local authority,E12000001,North East,E06000057,Northumberland,SEN provision,0,0,946,41.85840708,244,10.79646018,2260,,,E06000057,166,45428,89,0.19591,6149,13.5357,1841,4.05257
202223,Local authority,E12000001,North East,E06000057,Northumberland,SEN provision,33,0.554435484,1670,28.0577957,460,7.728494624,,5952,,E06000057,166,45428,89,0.19591,6149,13.5357,1841,4.05257
202223,Local authority,E12000001,North East,E06000057,Northumberland,SEN provision,56,0.150472915,3533,9.493228719,1137,3.055137575,,,37216,E06000057,166,45428,89,0.19591,6149,13.5357,1841,4.05257
202223,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,SEN provision,3,0.156331423,459,23.91870766,195,10.16154247,1919,,,E08000021,95,42140,61,0.14476,7028,16.67774,2308,5.47698
202223,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,SEN provision,18,0.33463469,1591,29.57798847,497,9.23963562,,5379,,E08000021,95,42140,61,0.14476,7028,16.67774,2308,5.47698
202223,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,SEN provision,40,0.114803972,4978,14.28735434,1616,4.638080478,,,34842,E08000021,95,42140,61,0.14476,7028,16.67774,2308,5.47698
202223,Local authority,E12000001,North East,E08000022,North Tyneside,SEN provision,6,0.36407767,269,16.32281553,130,7.888349515,1648,,,E08000022,77,31311,87,0.27786,3014,9.62601,1143,3.65047
202223,Local authority,E12000001,North East,E08000022,North Tyneside,SEN provision,30,0.787401575,811,21.28608924,299,7.847769029,,3810,,E08000022,77,31311,87,0.27786,3014,9.62601,1143,3.65047
202223,Local authority,E12000001,North East,E08000022,North Tyneside,SEN provision,51,0.197269176,1934,7.480756585,714,2.76176846,,,25853,E08000022,77,31311,87,0.27786,3014,9.62601,1143,3.65047
202223,Local authority,E12000002,North West,E06000009,Blackpool,SEN provision,3,0.311850312,319,33.16008316,94,9.771309771,962,,,E06000009,43,19879,43,0.21631,3757,18.89934,1066,5.36244
202223,Local authority,E12000002,North West,E06000009,Blackpool,SEN provision,17,0.108335458,1981,12.62426714,589,3.753504971,,,15692,E06000009,43,19879,43,0.21631,3757,18.89934,1066,5.36244
202223,Local authority,E12000002,North West,E06000009,Blackpool,SEN provision,23,0.713178295,1457,45.17829457,383,11.87596899,,3225,,E06000009,43,19879,43,0.21631,3757,18.89934,1066,5.36244
202223,Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",SEN provision,0,0,302,16.85267857,139,7.756696429,1792,,,E06000010,90,42692,32,0.07496,5309,12.43559,1797,4.20922
202223,Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",SEN provision,12,0.205233453,1200,20.52334531,408,6.977937404,,5847,,E06000010,90,42692,32,0.07496,5309,12.43559,1797,4.20922
202223,Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",SEN provision,20,0.057056457,3807,10.86069666,1250,3.566028585,,,35053,E06000010,90,42692,32,0.07496,5309,12.43559,1797,4.20922
202223,Local authority,E12000001,North East,E08000023,South Tyneside,SEN provision,1,0.091407678,105,9.597806216,44,4.021937843,1094,,,E08000023,57,22654,35,0.1545,1214,5.35888,595,2.62647
202223,Local authority,E12000001,North East,E08000023,South Tyneside,SEN provision,14,0.079167609,642,3.630400362,343,1.939606424,,,17684,E08000023,57,22654,35,0.1545,1214,5.35888,595,2.62647
202223,Local authority,E12000001,North East,E08000023,South Tyneside,SEN provision,20,0.515995872,467,12.04850361,208,5.366357069,,3876,,E08000023,57,22654,35,0.1545,1214,5.35888,595,2.62647
202223,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,SEN provision,5,0.255102041,382,19.48979592,167,8.520408163,1960,,,E06000011,144,45612,60,0.13154,3623,7.94309,1433,3.14172
202223,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,SEN provision,22,0.429184549,878,17.1283652,340,6.632852126,,5126,,E06000011,144,45612,60,0.13154,3623,7.94309,1433,3.14172
202223,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,SEN provision,33,0.08565644,2363,6.13352022,926,2.403571614,,,38526,E06000011,144,45612,60,0.13154,3623,7.94309,1433,3.14172
202223,Local authority,E12000001,North East,E08000024,Sunderland,SEN provision,6,0.356718193,561,33.35315101,186,11.05826397,1682,,,E08000024,107,40869,90,0.22022,5890,14.4119,1854,4.53645
202223,Local authority,E12000001,North East,E08000024,Sunderland,SEN provision,34,0.102526989,3457,10.42458235,1115,3.36228213,,,33162,E08000024,107,40869,90,0.22022,5890,14.4119,1854,4.53645
202223,Local authority,E12000001,North East,E08000024,Sunderland,SEN provision,50,0.829875519,1872,31.07053942,553,9.178423237,,6025,,E08000024,107,40869,90,0.22022,5890,14.4119,1854,4.53645
202223,Local authority,E12000001,North East,E08000037,Gateshead,SEN provision,1,0.079554495,149,11.85361973,64,5.091487669,1257,,,E08000037,83,28791,66,0.22924,3730,12.95544,1144,3.97346
202223,Local authority,E12000001,North East,E08000037,Gateshead,SEN provision,29,0.768211921,1264,33.48344371,319,8.450331126,,3775,,E08000037,83,28791,66,0.22924,3730,12.95544,1144,3.97346
202223,Local authority,E12000001,North East,E08000037,Gateshead,SEN provision,36,0.151521529,2317,9.752093943,761,3.202996759,,,23759,E08000037,83,28791,66,0.22924,3730,12.95544,1144,3.97346
202223,Local authority,E12000002,North West,E06000006,Halton,SEN provision,1,0.112359551,112,12.58426966,42,4.719101124,890,,,E06000006,61,18814,41,0.21792,1857,9.87031,747,3.97045
202223,Local authority,E12000002,North West,E06000006,Halton,SEN provision,19,0.683453237,555,19.96402878,195,7.014388489,,2780,,E06000006,61,18814,41,0.21792,1857,9.87031,747,3.97045
202223,Local authority,E12000002,North West,E06000006,Halton,SEN provision,21,0.13866878,1190,7.857897517,510,3.367670365,,,15144,E06000006,61,18814,41,0.21792,1857,9.87031,747,3.97045
202223,Local authority,E12000002,North West,E06000007,Warrington,SEN provision,0,0,340,27.22177742,103,8.246597278,1249,,,E06000007,86,33173,23,0.06933,1923,5.79688,740,2.23073
202223,Local authority,E12000002,North West,E06000007,Warrington,SEN provision,10,0.265251989,524,13.89920424,216,5.729442971,,3770,,E06000007,86,33173,23,0.06933,1923,5.79688,740,2.23073
202223,Local authority,E12000002,North West,E06000007,Warrington,SEN provision,13,0.046174611,1059,3.761454855,421,1.49534702,,,28154,E06000007,86,33173,23,0.06933,1923,5.79688,740,2.23073
202223,Local authority,E12000002,North West,E08000001,Bolton,SEN provision,3,0.131233596,596,26.07174103,192,8.398950131,2286,,,E08000001,124,53273,109,0.20461,6472,12.14874,2167,4.06773
202223,Local authority,E12000002,North West,E08000001,Bolton,SEN provision,44,0.098407586,3785,8.46528896,1408,3.149042763,,,44712,E08000001,124,53273,109,0.20461,6472,12.14874,2167,4.06773
202223,Local authority,E12000002,North West,E08000001,Bolton,SEN provision,62,0.988047809,2091,33.32270916,567,9.035856574,,6275,,E08000001,124,53273,109,0.20461,6472,12.14874,2167,4.06773
202223,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,SEN provision,0,0,120,11.75318315,54,5.288932419,1021,,,E06000008,70,27761,35,0.12608,1887,6.79731,948,3.41486
202223,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,SEN provision,15,0.066044382,1121,4.935716802,606,2.668193026,,,22712,E06000008,70,27761,35,0.12608,1887,6.79731,948,3.41486
202223,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,SEN provision,20,0.49652433,646,16.03773585,288,7.149950348,,4028,,E06000008,70,27761,35,0.12608,1887,6.79731,948,3.41486
202223,Local authority,E12000002,North West,E08000005,Rochdale,SEN provision,3,0.173210162,563,32.50577367,179,10.33487298,1732,,,E08000005,86,37780,83,0.21969,4668,12.35574,1799,4.76178
202223,Local authority,E12000002,North West,E08000005,Rochdale,SEN provision,33,0.693568726,1234,25.93526692,445,9.352669189,,4758,,E08000005,86,37780,83,0.21969,4668,12.35574,1799,4.76178
