URN,EstablishmentName,Easting,Northing,Longitude,Latitude
20001,The Starship Children's Centre,538104.0,263602.0,0.021757905499141538,52.25326569175909
20002,Carlisle South Petteril Bank Upperby SureStart Children's Centre,341828.0,553461.0,-2.9080258432413286,54.87251714185238
20003,Central Sure Start Children's Centre,442601.0,112587.0,-1.3954278075800048,50.91118490223735
20004,Ryde Children's Centre,459277.0,92543.0,-1.161490091717356,50.72948985087754
20006,West Allerdale SureStart Children's Centre,303930.0,535699.0,-3.49252242888176,54.70710382347605
20007,1a Children's Centre,531067.0,182081.0,-0.11221657210172738,51.52244565564642
20008,1st Place Children and Parents' Centre,533063.0,177835.0,-0.08506401133572104,51.483822993428845
20009,3R1 Abbots Langley Family Centre,509041.0,201138.0,-0.42363191364443437,51.69840563233591
20010,3R2 Croxley Green Family Centre,507332.0,195914.0,-0.44995416758876905,51.65178191978611
20011,3R3 Rickmansworth Family Centre,504180.0,194182.0,-0.49601313566418725,51.636806743430256
20012,3R4 Ebury Family Centre,510879.0,194327.0,-0.39920725283348263,51.636830775849184
20013,3R5 South Oxhey Family Centre,511451.0,192901.0,-0.39139882568311807,51.62390136988285
20014,3R6 Chorleywood and Loudwater Family Centre,502602.0,195905.0,-0.5183019746222581,51.6525831922992
20015,Abacus Children's Centre,388972.0,388027.0,-2.167279959136868,53.388964979817395
20016,ABBEY & LADY BAY Children's Centre,459288.0,336870.0,-1.119529997695506,52.925976214166155
20018,Abbey Children's Centre,526047.0,169835.0,-0.18889728425322982,51.413532353855466
20019,Abbey Children's Centre,544013.0,184537.0,0.07526257084799409,51.54136449831506
20020,Abbey Green Nursery School & Children's Centre,415476.0,434012.0,-1.7665045367409715,53.80218092386941
20021,Abbey Lane Children's Centre,538387.0,183501.0,-0.006216877968676223,51.53346128111911
20022,Abbey Road and Regents Park Children's Centre Information Point,526845.0,183221.0,-0.1726277338656871,51.53365374380622
20023,Abbey Wood Children's Centre,546766.0,178474.0,0.11240978088091597,51.48617798107745
20024,Abbots Hall Childrens Centre P2-5,569426.0,183177.0,0.4407313459060312,51.522097830983554
20025,ABC Ashburton and Buckfastleigh Children's Centre,273914.0,66071.0,-3.7784757143782692,50.480852680897655
20026,Aberfeldy Children's Centre,538476.0,181269.0,-0.005811046495933726,51.51338278165215
20027,Abingdon Children's Centre,449967.0,519763.0,-1.2286423728582256,54.57062701534523
20028,Abington Library and Children's Centre,477900.0,262500.0,-0.8602023397066673,52.25516686129084
