,red,yellow,green
ParentView_Q01,"(0.009765625, 0.8192049808429118)","(0.8192049808429118, 0.8965517241379306)","(0.8965517241379306, 1.0)"
ParentView_Q02,"(0.013671875, 0.8265717577353526)","(0.8265717577353526, 0.9047619047619044)","(0.9047619047619044, 1.0)"
ParentView_Q03,"(0.0078125, 0.7406541149068324)","(0.7406541149068324, 0.8397435897435895)","(0.8397435897435895, 1.0)"
ParentView_Q04,"(0.0, 0.12894736842105275)","(0.12894736842105275, 0.1796875)","(0.1796875, 0.65)"
ParentView_Q05,"(0.0078125, 0.7500000000000007)","(0.7500000000000007, 0.8571428571428575)","(0.8571428571428575, 1.0)"
ParentView_Q06,"(0.0, 0.5000000000000008)","(0.5000000000000008, 0.5778688524590163)","(0.5778688524590163, 1.0)"
ParentView_Q07a,"(0.0, 0.0)","(0.0, 0.218045112781955)","(0.218045112781955, 1.0)"
ParentView_Q07b,"(0.0, 0.0)","(0.0, 0.6071428571428571)","(0.6071428571428571, 1.0)"
ParentView_Q08,"(0.0078125, 0.7194223843383507)","(0.7194223843383507, 0.8055555555555557)","(0.8055555555555557, 1.0)"
ParentView_Q09,"(0.0078125, 0.7880275870836508)","(0.7880275870836508, 0.8666666666666659)","(0.8666666666666659, 1.0)"
ParentView_Q10,"(0.0078125, 0.7534966744913931)","(0.7534966744913931, 0.837837837837837)","(0.837837837837837, 1.0)"
ParentView_Q11,"(0.009765625, 0.7916666666666666)","(0.7916666666666666, 0.8616071428571435)","(0.8616071428571435, 1.0)"
ParentView_Q12,"(0.009765625, 0.7857142857142854)","(0.7857142857142854, 0.8666666666666664)","(0.8666666666666664, 1.0)"
ParentView_Q13,"(0.0, 0.6999999999999997)","(0.6999999999999997, 0.8017241379310349)","(0.8017241379310349, 1.0)"
ParentView_Q14,"(0.0, 0.823529411764706)","(0.823529411764706, 0.923076923076923)","(0.923076923076923, 1.0)"
