EstablishmentName,SEN_Provision_List,HasSENProvision
The Starship Children's Centre,Not applicable,False
Carlisle South Petteril Bank Upperby SureStart Children's Centre,Not applicable,False
Central Sure Start Children's Centre,Not applicable,False
Ryde Children's Centre,Not applicable,False
West Allerdale SureStart Children's Centre,Not applicable,False
1a Children's Centre,Not applicable,False
1st Place Children and Parents' Centre,Not applicable,False
3R1 Abbots Langley Family Centre,Not applicable,False
3R2 Croxley Green Family Centre,Not applicable,False
3R3 Rickmansworth Family Centre,Not applicable,False
3R4 Ebury Family Centre,Not applicable,False
3R5 South Oxhey Family Centre,Not applicable,False
3R6 Chorleywood and Loudwater Family Centre,Not applicable,False
Abacus Children's Centre,Not applicable,False
ABBEY & LADY BAY Children's Centre,Not applicable,False
Abbey Children's Centre,Not applicable,False
Abbey Children's Centre,Not applicable,False
Abbey Green Nursery School & Children's Centre,Not applicable,False
Abbey Lane Children's Centre,Not applicable,False
Abbey Road and Regents Park Children's Centre Information Point,Not applicable,False
Abbey Wood Children's Centre,Not applicable,False
Abbots Hall Childrens Centre P2-5,Not applicable,False
ABC Ashburton and Buckfastleigh Children's Centre,Not applicable,False
Aberfeldy Children's Centre,Not applicable,False
Abingdon Children's Centre,Not applicable,False
Abington Library and Children's Centre,Not applicable,False
Keir Hardie Children's Centre,Not applicable,False
Leytonstone Children's Centre,Not applicable,False
Accrington Road Children's Centre,Not applicable,False
Acorn Children's Centre,Not applicable,False
Stockbridge Village (Acorn) SSCC,Not applicable,False
Acorns Family Hub,Not applicable,False
Taunton East,Not applicable,False
Acorn's Children's Centre,Not applicable,False
Montagu Street Children's Centre,Not applicable,False
Acton Park Children's Centre,Not applicable,False
Adwick Children's Centre,Not applicable,False
Agar Children's Centre,Not applicable,False
Ainthorpe Children's Centre,Not applicable,False
Airedale Children's Centre,Not applicable,False
Carterhatch Bell Lane Children's Centre,Not applicable,False
Albert Road Children's Centre,Not applicable,False
Alcester and District Children's Centre,Not applicable,False
West Coast & Exmoor,Not applicable,False
Avebury Meadows Sure Start Children's Centre,Not applicable,False
Alders and Chestnuts Children's Centre,Not applicable,False
Aldersbrook Children's Centre,Not applicable,False
Alderwood and Greenacres Children's Centre,Not applicable,False
Alexandra Family Hub,Not applicable,False
Alexandra Children's Centre,Not applicable,False
Alford Children's Centre,Not applicable,False
Alfreton Children's Centre,Not applicable,False
Alice's View Children's Centre,Not applicable,False
The All Saints Children's Centre,Not applicable,False
All Saints Centre,Not applicable,False
Darfield Family Centre,Not applicable,False
Thackeray Drive and All Saints Children's Centre,Not applicable,False
All Saints Sure Start Children's Centre,Not applicable,False
All Seasons and Seedlings Children's Centre,Not applicable,False
Allerton Children's Centre,Not applicable,False
Almondbury Children's Centre,Not applicable,False
Alnwick/Rothbury Children's Centre,Not applicable,False
Alperton Children's Centre,Not applicable,False
Sandbach Children's Centre -Alsager site,Not applicable,False
Alumwell Pleck Sure Start Children's Centre,Not applicable,False
Alwoodley Children's Centre,Not applicable,False
Hadston/Amble Children's Centre,Not applicable,False
Ambler Children's Centre,Not applicable,False
Amersham Family Centre,Not applicable,False
Amy Johnson Children's Centre (Clockhouse Roundshaw),Not applicable,False
Anfield Children's Centre,Not applicable,False
Raynham Children's Centre,Not applicable,False
Angram Bank Family Hub Network Site,Not applicable,False
Sure Start Children's Centre Anlaby,Not applicable,False
Ann Bernadt Nursery School & Children's Centre,Not applicable,False
Ann Tayler Children & Family Hub,Not applicable,False
Anstey Sure Start Children's Centre,Not applicable,False
Anthony Road Children's Centre,Not applicable,False
South Eden SureStart Children's Centre,Not applicable,False
Appletree Children's Centre,Not applicable,False
Arbourthorne & Norfolk Park Children's Centre,Not applicable,False
Archway Children's Centre,Not applicable,False
Ardsley and Tingley Children's Centre,Not applicable,False
Ardwick SureStart Children Centre,Not applicable,False
Armley Moor Children's Centre,Not applicable,False
Sure Start West Children's Centre,Not applicable,False
Armthorpe Village Children's Centre,Not applicable,False
ARNBROOK Children's Centre,Not applicable,False
ARNOLD Children's Centre,Not applicable,False
Around Poplar Children's Centre,Not applicable,False
Ash Grange Sure Start Children's Centre,Not applicable,False
Ash Green Children's Centre,Not applicable,False
Ash Grove Children's Centre,Not applicable,False
Ashbury Meadow Sure Start Children's Centre,Not applicable,False
Ashby Children's Centre,Not applicable,False
Ashby Sure Start Children's Centre,Not applicable,False
Ashcombe Children's Centre,Not applicable,False
Ashington/Morpeth Children's Centre,Not applicable,False
Crewkerne Building,Not applicable,False
Ashtead Sure Start Children's Centre,Not applicable,False
Ashton Sure Start Children's Centre,Not applicable,False
Ashton upon Mersey Children's Centre,Not applicable,False
Askern Children's Centre,Not applicable,False
Aspley Children's Centre,Not applicable,False
Astley & Buckshaw Childrens Centre,Not applicable,False
Athelstan (Handsworth) Children's Centre,Not applicable,False
Atherstone Early Years Centre,Not applicable,False
Atherton Sure Start Children's Centre,Not applicable,False
Audley and Queen's Park Children's Centre,Not applicable,False
Aughton Early Years Centre,Not applicable,False
Austin Sunnyhill Children's Centre,Not applicable,False
Aveley Children's Centre P1-1,Not applicable,False
Aviary Children's Centre,Not applicable,False
Avonmouth Children's Centre,Not applicable,False
AWSWORTH Children's Centre,Not applicable,False
Axe Valley Children's Centre,Not applicable,False
Elmhurst Family Centre (Aylesbury),Not applicable,False
Berryfields Family Centre (Aylesbury),Not applicable,False
Southcourt Family Centre Plus (Aylesbury),Not applicable,False
Snowdrop Children's Centre,Not applicable,False
B1 Three Parks Family Centre,Not applicable,False
B2 the Ark Family Centre,Not applicable,False
B3 High Trees Family Centre,Not applicable,False
B5 Allsorts Family Centre,Not applicable,False
B6 Arlesdene Family Centre,Not applicable,False
B7 Greenfield Family Centre,Not applicable,False
Babington Children's Centre,Not applicable,False
Bagshot Infant School & Sure Start Children's Centre,Not applicable,False
Baguley Sure Start Childrens Centre,Not applicable,False
Bagworth Sure Start Children's Centre,Not applicable,False
Baines Children's Centre,Not applicable,False
Balby Children's Centre,Not applicable,False
BALDERTON Children's Centre,Not applicable,False
Balham Nursery School and Children's Centre,Not applicable,False
Balladen Children's Centre,Not applicable,False
Balmoral Children's Centre,Not applicable,False
St Pauls Children's Centre,Not applicable,False
Bamber Bridge Children's Centre,Not applicable,False
Bankwood Children's Centre,Not applicable,False
Bannerman Road Children's Centre,Not applicable,False
"Banwell, Winscombe and Sandford",Not applicable,False
Barclay Children Centre,Not applicable,False
Barkerend Children's Centre,Not applicable,False
Barley Lea Children's Centre,Not applicable,False
Barley Fields CC,Not applicable,False
Silkstream Children's Centre,Not applicable,False
Barnstaple (Sticklepath),Not applicable,False
Barnton and Weaverham Children's Centre,Not applicable,False
Barra Hall Children's Centre,Not applicable,False
Barton Children's Centre,Not applicable,False
St Philip's Marsh Nursery School & Barton Hill Children's Centre,Not applicable,False
Barton Moss and South Eccles Children's Centre,Not applicable,False
Bartongate Children's Centre,Not applicable,False
Barwell Sure Start Children's Centre,Not applicable,False
