time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,main_category,category_of_expenditure,early_years_establishments,primary_schools,secondary_schools,sen_and_special_schools,pupil_referral_units_and_alt_provision,post_16,gross_expenditure,income,net_expenditure,net_per_capita_expenditure,EES_order
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,0,0,0,0,x,0,,0,0,2
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.1 Top-up funding – maintained schools,0,65833,0,6834,0,x,72667,0,72667,99,12
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,73313,124528,0,0,0,197841,0,197841,269,13
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,0,13850,0,288161,0,0,302012,0,302012,410,14
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.5 SEN support service,0,143279,0,0,0,0,143279,0,143279,195,16
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.6 Hospital education services,x,x,x,0,0,x,0,0,0,0,17
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.7 Other alternative provision services,0,0,0,0,0,0,0,0,0,0,18
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.8 Support for inclusion,0,0,0,0,0,0,0,0,0,0,19
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
