School Name,ParentView_Q01,ParentView_Q02,ParentView_Q03,ParentView_Q04,ParentView_Q05,ParentView_Q06,ParentView_Q07a,ParentView_Q07b,ParentView_Q08,ParentView_Q09,ParentView_Q10,ParentView_Q11,ParentView_Q12,ParentView_Q13,ParentView_Q14
The Aldgate School,0.9513888888888891,0.9236111111111109,0.8819444444444443,0.2013888888888887,0.7638888888888887,0.6666666666666672,0.0,0.0,0.8541666666666672,0.9305555555555555,0.8888888888888894,0.8125000000000002,0.7708333333333338,0.854166666666667,1.0
Thomas Coram Centre,0.96875,0.979166666666667,0.9270833333333333,0.0,0.8124999999999999,0.427083333333333,0.0,0.0,0.8645833333333334,0.9583333333333333,0.9270833333333338,0.9166666666666672,0.8333333333333334,0.9583333333333333,1.0
Hawley Primary School,0.91015625,0.91015625,0.83984375,0.16015625,0.9140625,0.6015625,0.0,0.0,0.80078125,0.875,0.85546875,0.8203125,0.7734375,0.7734375,0.90625
Netley Primary School & Centre for Autism,0.921875,0.9140625,0.90234375,0.1796875,0.91015625,0.55078125,0.328125,0.8928571428571432,0.85546875,0.89453125,0.9140625,0.90234375,0.91796875,0.86328125,0.96875
Richard Cobden Primary School,0.9027777777777782,0.9305555555555552,0.8750000000000002,0.2500000000000002,0.8888888888888894,0.6111111111111117,0.0,0.0,0.8472222222222223,0.8472222222222225,0.875,0.9027777777777775,0.8749999999999997,0.8194444444444443,0.888888888888889
Torriano Primary School,0.9332524271844659,0.9259708737864074,0.8592233009708742,0.1565533980582524,0.9320388349514556,0.5922330097087383,0.145631067961165,0.9000000000000002,0.8131067961165049,0.9016990291262136,0.8701456310679611,0.8932038834951455,0.953883495145631,0.8701456310679612,0.956310679611651
Fitzjohn's Primary School,0.9280303030303024,0.933712121212122,0.8465909090909095,0.18750000000000036,0.8749999999999997,0.5492424242424243,0.121212121212121,0.671875,0.7234848484848482,0.8844696969696973,0.8825757575757577,0.8768939393939399,0.9223484848484853,0.8484848484848485,0.954545454545455
Emmanuel Church of England Primary School,0.8606194690265485,0.8915929203539816,0.7964601769911497,0.15707964601769941,0.8694690265486728,0.48893805309734595,0.150442477876106,0.6617647058823527,0.721238938053097,0.8318584070796458,0.8075221238938057,0.8451327433628318,0.8982300884955746,0.8207964601769916,0.893805309734513
"Holy Trinity CofE Primary School, NW3",0.947368421052632,0.9342105263157894,0.8947368421052635,0.18421052631578977,0.7894736842105267,0.5526315789473687,0.0,0.0,0.868421052631579,0.9078947368421056,0.8157894736842106,0.7894736842105263,0.8289473684210521,0.8684210526315793,0.947368421052632
Kentish Town Church of England Primary School,0.9439252336448597,0.913551401869159,0.8855140186915883,0.22663551401869206,0.8831775700934572,0.6728971962616825,0.261682242990654,0.8571428571428574,0.785046728971963,0.8738317757009344,0.8738317757009343,0.9065420560747661,0.9135514018691585,0.8691588785046732,0.934579439252336
St George the Martyr Church of England Primary School,0.875,0.8828125,0.9140625,0.296875,0.8984375,0.71875,0.0,0.0,0.7734375,0.8984375,0.8125,0.796875,0.875,0.78125,0.875
